timestamp,close,sma_20,diff,percent_diff,signal
2025-07-10 07:50:00+03:00,111115.22,,,,0
2025-07-10 07:55:00+03:00,111150.0,,,,0
2025-07-10 08:00:00+03:00,111068.47,,,,0
2025-07-10 08:05:00+03:00,110980.0,,,,0
2025-07-10 08:10:00+03:00,110986.91,,,,0
2025-07-10 08:15:00+03:00,110971.0,,,,0
2025-07-10 08:20:00+03:00,110940.26,,,,0
2025-07-10 08:25:00+03:00,110993.61,,,,0
2025-07-10 08:30:00+03:00,110950.7,,,,0
2025-07-10 08:35:00+03:00,110950.71,111010.69,-59.98,-0.05,0
2025-07-10 08:40:00+03:00,110950.71,110994.24,-43.53,-0.04,0
2025-07-10 08:45:00+03:00,110949.4,110974.18,-24.78,-0.02,0
2025-07-10 08:50:00+03:00,111042.38,110971.57,70.81,0.06,0
2025-07-10 08:55:00+03:00,111086.14,110982.18,103.96,0.09,0
2025-07-10 09:00:00+03:00,111157.01,110999.19,157.82,0.14,0
2025-07-10 09:05:00+03:00,111095.28,111011.62,83.66,0.08,0
2025-07-10 09:10:00+03:00,111142.0,111031.79,110.21,0.1,0
2025-07-10 09:15:00+03:00,111153.32,111047.77,105.55,0.1,0
2025-07-10 09:20:00+03:00,111254.95,111078.19,176.76,0.16,0
2025-07-10 09:25:00+03:00,111278.66,111110.99,167.67,0.15,0
2025-07-10 09:30:00+03:00,111254.76,111141.39,113.37,0.1,0
2025-07-10 09:35:00+03:00,111159.2,111162.37,-3.17,-0.0,0
2025-07-10 09:40:00+03:00,111141.93,111172.32,-30.4,-0.03,0
2025-07-10 09:45:00+03:00,111197.07,111183.42,13.65,0.01,0
2025-07-10 09:50:00+03:00,111258.27,111193.54,64.73,0.06,0
2025-07-10 09:55:00+03:00,111233.34,111207.35,25.99,0.02,0
2025-07-10 10:00:00+03:00,111249.75,111218.12,31.62,0.03,0
2025-07-10 10:05:00+03:00,111432.45,111246.04,186.41,0.17,0
2025-07-10 10:10:00+03:00,111394.53,111260.0,134.53,0.12,0
2025-07-10 10:15:00+03:00,111372.0,111269.33,102.67,0.09,0
2025-07-10 10:20:00+03:00,111336.01,111277.46,58.55,0.05,0
2025-07-10 10:25:00+03:00,111363.89,111297.92,65.97,0.06,0
2025-07-10 10:30:00+03:00,111349.5,111318.68,30.82,0.03,0
2025-07-10 10:35:00+03:00,111250.01,111323.98,-73.97,-0.07,0
2025-07-10 10:40:00+03:00,111277.32,111325.88,-48.56,-0.04,0
2025-07-10 10:45:00+03:00,111255.01,111328.05,-73.04,-0.07,0
2025-07-10 10:50:00+03:00,111224.59,111325.53,-100.94,-0.09,0
2025-07-10 10:55:00+03:00,111230.0,111305.29,-75.29,-0.07,0
2025-07-10 11:00:00+03:00,111146.93,111280.53,-133.6,-0.12,0
2025-07-10 11:05:00+03:00,111125.01,111255.83,-130.82,-0.12,0
2025-07-10 11:10:00+03:00,111123.94,111234.62,-110.68,-0.1,0
2025-07-10 11:15:00+03:00,111276.91,111225.92,50.99,0.05,0
2025-07-10 11:20:00+03:00,111263.0,111217.27,45.73,0.04,0
2025-07-10 11:25:00+03:00,111260.33,111218.3,42.03,0.04,0
2025-07-10 11:30:00+03:00,111274.82,111218.05,56.77,0.05,0
2025-07-10 11:35:00+03:00,111349.96,111227.55,122.41,0.11,0
2025-07-10 11:40:00+03:00,111386.89,111243.78,143.11,0.13,0
2025-07-10 11:45:00+03:00,111335.06,111254.28,80.77,0.07,0
2025-07-10 11:50:00+03:00,111243.99,111263.99,-20.0,-0.02,0
2025-07-10 11:55:00+03:00,111233.33,111274.82,-41.49,-0.04,0
2025-07-10 12:00:00+03:00,111189.6,111281.39,-91.79,-0.08,0
2025-07-10 12:05:00+03:00,111180.32,111271.73,-91.41,-0.08,0
2025-07-10 12:10:00+03:00,111160.37,111261.47,-101.1,-0.09,0
2025-07-10 12:15:00+03:00,111200.01,111255.44,-55.43,-0.05,0
2025-07-10 12:20:00+03:00,111115.42,111239.5,-124.07,-0.11,0
2025-07-10 12:25:00+03:00,111130.0,111217.5,-87.5,-0.08,0
2025-07-10 12:30:00+03:00,111127.99,111191.61,-63.62,-0.06,0
2025-07-10 12:35:00+03:00,111130.5,111171.15,-40.65,-0.04,0
2025-07-10 12:40:00+03:00,111086.28,111155.38,-69.1,-0.06,0
2025-07-10 12:45:00+03:00,111086.72,111140.72,-54.0,-0.05,0
2025-07-10 12:50:00+03:00,111084.28,111130.19,-45.91,-0.04,0
2025-07-10 12:55:00+03:00,111041.36,111116.29,-74.93,-0.07,0
2025-07-10 13:00:00+03:00,111014.7,111101.73,-87.03,-0.08,0
2025-07-10 13:05:00+03:00,111011.0,111082.82,-71.82,-0.06,0
2025-07-10 13:10:00+03:00,110991.17,111070.4,-79.23,-0.07,0
2025-07-10 13:15:00+03:00,111024.93,111059.89,-34.96,-0.03,0
2025-07-10 13:20:00+03:00,111009.88,111048.08,-38.2,-0.03,0
2025-07-10 13:25:00+03:00,111009.88,111036.02,-26.14,-0.02,0
2025-07-10 13:30:00+03:00,111048.86,111032.28,16.58,0.01,0
2025-07-10 13:35:00+03:00,111046.54,111028.26,18.28,0.02,0
2025-07-10 13:40:00+03:00,110944.01,111014.23,-70.22,-0.06,0
2025-07-10 13:45:00+03:00,110903.32,111000.43,-97.11,-0.09,0
2025-07-10 13:50:00+03:00,111035.67,111002.53,33.14,0.03,0
2025-07-10 13:55:00+03:00,111088.51,111010.28,78.23,0.07,0
2025-07-10 14:00:00+03:00,111054.84,111016.64,38.2,0.03,0
2025-07-10 14:05:00+03:00,111125.8,111026.73,99.07,0.09,0
2025-07-10 14:10:00+03:00,111081.49,111033.89,47.6,0.04,0
2025-07-10 14:15:00+03:00,111080.98,111041.0,39.98,0.04,0
2025-07-10 14:20:00+03:00,111112.47,111047.36,65.11,0.06,0
2025-07-10 14:25:00+03:00,111165.25,111059.23,106.02,0.1,0
2025-07-10 14:30:00+03:00,111090.0,111073.83,16.17,0.01,0
2025-07-10 14:35:00+03:00,111033.52,111086.85,-53.33,-0.05,0
2025-07-10 14:40:00+03:00,111085.67,111091.85,-6.18,-0.01,0
2025-07-10 14:45:00+03:00,111054.28,111088.43,-34.15,-0.03,0
2025-07-10 14:50:00+03:00,110988.92,111081.84,-92.92,-0.08,0
2025-07-10 14:55:00+03:00,111019.99,111071.26,-51.27,-0.05,0
2025-07-10 15:00:00+03:00,110892.21,111052.33,-160.12,-0.14,0
2025-07-10 15:05:00+03:00,110871.99,111031.43,-159.44,-0.14,0
2025-07-10 15:10:00+03:00,110812.87,111001.47,-188.6,-0.17,0
2025-07-10 15:15:00+03:00,110835.14,110968.46,-133.32,-0.12,0
2025-07-10 15:20:00+03:00,110805.13,110939.97,-134.84,-0.12,0
2025-07-10 15:25:00+03:00,110921.4,110928.76,-7.36,-0.01,0
2025-07-10 15:30:00+03:00,110854.22,110905.62,-51.39,-0.05,0
2025-07-10 15:35:00+03:00,110853.08,110885.5,-32.41,-0.03,0
2025-07-10 15:40:00+03:00,110835.76,110870.18,-34.42,-0.03,0
2025-07-10 15:45:00+03:00,110838.31,110852.01,-13.7,-0.01,0
2025-07-10 15:50:00+03:00,110820.01,110844.79,-24.78,-0.02,0
2025-07-10 15:55:00+03:00,110869.0,110844.49,24.51,0.02,0
2025-07-10 16:00:00+03:00,110911.27,110854.33,56.94,0.05,0
2025-07-10 16:05:00+03:00,110872.59,110858.08,14.51,0.01,0
2025-07-10 16:10:00+03:00,110899.85,110867.55,32.3,0.03,0
2025-07-10 16:15:00+03:00,110937.44,110869.15,68.29,0.06,0
2025-07-10 16:20:00+03:00,110965.18,110880.25,84.93,0.08,0
2025-07-10 16:25:00+03:00,111039.99,110898.94,141.05,0.13,0
2025-07-10 16:30:00+03:00,110708.63,110886.23,-177.6,-0.16,0
