timestamp,close,sma_20,diff,percent_diff,signal
2025-07-08 14:30:00+03:00,108904.84,,,,0
2025-07-08 14:35:00+03:00,108874.49,,,,0
2025-07-08 14:40:00+03:00,108892.46,,,,0
2025-07-08 14:45:00+03:00,108849.05,,,,0
2025-07-08 14:50:00+03:00,108757.49,,,,0
2025-07-08 14:55:00+03:00,108756.37,,,,0
2025-07-08 15:00:00+03:00,108773.99,,,,0
2025-07-08 15:05:00+03:00,108800.0,,,,0
2025-07-08 15:10:00+03:00,108805.11,,,,0
2025-07-08 15:15:00+03:00,108701.67,108811.55,-109.88,-0.1,0
2025-07-08 15:20:00+03:00,108699.99,108791.06,-91.07,-0.08,0
2025-07-08 15:25:00+03:00,108696.15,108773.23,-77.08,-0.07,0
2025-07-08 15:30:00+03:00,108801.0,108764.08,36.92,0.03,0
2025-07-08 15:35:00+03:00,108733.99,108752.58,-18.59,-0.02,0
2025-07-08 15:40:00+03:00,108777.61,108754.59,23.02,0.02,0
2025-07-08 15:45:00+03:00,108830.5,108762.0,68.5,0.06,0
2025-07-08 15:50:00+03:00,108881.93,108772.8,109.13,0.1,0
2025-07-08 15:55:00+03:00,108949.19,108787.71,161.48,0.15,0
2025-07-08 16:00:00+03:00,108908.44,108798.05,110.39,0.1,0
2025-07-08 16:05:00+03:00,108884.01,108816.28,67.73,0.06,0
2025-07-08 16:10:00+03:00,108835.49,108829.83,5.66,0.01,0
2025-07-08 16:15:00+03:00,108835.86,108843.8,-7.94,-0.01,0
2025-07-08 16:20:00+03:00,108838.33,108847.54,-9.21,-0.01,0
2025-07-08 16:25:00+03:00,108881.85,108862.32,19.53,0.02,0
2025-07-08 16:30:00+03:00,108733.93,108857.95,-124.02,-0.11,0
2025-07-08 16:35:00+03:00,108642.0,108839.1,-197.1,-0.18,0
2025-07-08 16:40:00+03:00,109033.0,108854.21,178.79,0.16,0
2025-07-08 16:45:00+03:00,109024.0,108861.69,162.31,0.15,0
2025-07-08 16:50:00+03:00,108986.38,108869.49,116.89,0.11,0
2025-07-08 16:55:00+03:00,109034.61,108884.54,150.07,0.14,0
2025-07-08 17:00:00+03:00,108865.38,108887.53,-22.15,-0.02,0
2025-07-08 17:05:00+03:00,108719.43,108875.89,-156.46,-0.14,0
2025-07-08 17:10:00+03:00,108627.81,108854.84,-227.03,-0.21,1
2025-07-08 17:15:00+03:00,108587.0,108825.35,-238.35,-0.22,1
2025-07-08 17:20:00+03:00,108409.78,108792.94,-383.16,-0.35,1
2025-07-08 17:25:00+03:00,108510.45,108779.78,-269.33,-0.25,1
2025-07-08 17:30:00+03:00,108669.01,108743.38,-74.38,-0.07,0
2025-07-08 17:35:00+03:00,108749.23,108715.91,33.32,0.03,0
2025-07-08 17:40:00+03:00,108762.28,108693.5,68.78,0.06,0
2025-07-08 17:45:00+03:00,108652.01,108655.24,-3.23,-0.0,0
2025-07-08 17:50:00+03:00,108399.98,108608.7,-208.72,-0.19,0
2025-07-08 17:55:00+03:00,108376.0,108574.36,-198.36,-0.18,0
2025-07-08 18:00:00+03:00,108413.63,108552.94,-139.31,-0.13,0
2025-07-08 18:05:00+03:00,108427.3,108536.97,-109.67,-0.1,0
2025-07-08 18:10:00+03:00,108439.99,108539.99,-100.0,-0.09,0
2025-07-08 18:15:00+03:00,108436.95,108532.64,-95.69,-0.09,0
2025-07-08 18:20:00+03:00,108341.45,108499.88,-158.43,-0.15,0
2025-07-08 18:25:00+03:00,108271.96,108452.16,-180.19,-0.17,0
2025-07-08 18:30:00+03:00,108312.01,108407.13,-95.12,-0.09,0
2025-07-08 18:35:00+03:00,108303.99,108372.33,-68.34,-0.06,0
2025-07-08 18:40:00+03:00,108317.99,108364.13,-46.14,-0.04,0
2025-07-08 18:45:00+03:00,108323.1,108358.84,-35.74,-0.03,0
2025-07-08 18:50:00+03:00,108256.31,108343.11,-86.8,-0.08,0
2025-07-08 18:55:00+03:00,108268.35,108327.21,-58.86,-0.05,0
2025-07-08 19:00:00+03:00,108326.58,108315.87,10.71,0.01,0
2025-07-08 19:05:00+03:00,108197.79,108291.95,-94.16,-0.09,0
2025-07-08 19:10:00+03:00,108152.0,108273.01,-121.01,-0.11,0
2025-07-08 19:15:00+03:00,108164.0,108262.21,-98.21,-0.09,0
2025-07-08 19:20:00+03:00,108373.08,108268.32,104.76,0.1,0
2025-07-08 19:25:00+03:00,108461.84,108284.1,177.74,0.16,0
2025-07-08 19:30:00+03:00,108363.12,108288.62,74.5,0.07,0
2025-07-08 19:35:00+03:00,108334.0,108289.71,44.29,0.04,0
2025-07-08 19:40:00+03:00,108371.3,108301.21,70.09,0.06,0
2025-07-08 19:45:00+03:00,108333.9,108307.76,26.14,0.02,0
2025-07-08 19:50:00+03:00,108380.02,108313.11,66.91,0.06,0
2025-07-08 19:55:00+03:00,108439.37,108337.26,102.11,0.09,0
2025-07-08 20:00:00+03:00,108595.0,108381.56,213.44,0.2,0
2025-07-08 20:05:00+03:00,108723.62,108437.52,286.1,0.26,-1
2025-07-08 20:10:00+03:00,108767.94,108477.01,290.93,0.27,-1
2025-07-08 20:15:00+03:00,108723.5,108503.18,220.32,0.2,-1
2025-07-08 20:20:00+03:00,109002.63,108567.13,435.5,0.4,-1
2025-07-08 20:25:00+03:00,108887.71,108622.5,265.21,0.24,-1
2025-07-08 20:30:00+03:00,108806.84,108666.05,140.79,0.13,0
2025-07-08 20:35:00+03:00,108769.21,108709.58,59.63,0.05,0
2025-07-08 20:40:00+03:00,108798.42,108751.42,47.0,0.04,0
2025-07-08 20:45:00+03:00,108939.2,108801.41,137.79,0.13,0
2025-07-08 20:50:00+03:00,109099.98,108851.9,248.07,0.23,-1
